Name,ADDRESS,Phone,MEDICARE PROVIDER ID,NATIONAL PROVIDER ID (NPI),WEBSITE,PROVIDER TYPE,OWNERSHIP,BEDS,HEALTH SYSTEM AFFILIATION
AdventHealth Sebring,"4200 Sun'n Lake Boulevard, Sebring, FL, 33872",(863) 314-4466,100109,1083692594,https://www.adventhealth.com/hospital/adventhealth-sebring,Acute Care Hospitals,Voluntary non-profit - Church,204,/health_systems/adventist-health-system/
AdventHealth Shawnee Mission,"9100 West 74th Street, Shawnee Mission, KS, 66204",(913) 676-2152,170104,1023171634,https://www.adventhealth.com/hospital/adventhealth-shawnee-mission,Acute Care Hospitals,Voluntary non-profit - Church,363,/health_systems/adventist-health-system/
AdventHealth Tampa,"3100 East Fletcher Avenue, Tampa, FL, 33613",(813) 615-7200,100173,1053321919,https://www.adventhealth.com/hospital/adventhealth-tampa,Acute Care Hospitals,Voluntary non-profit - Private,536,/health_systems/adventist-health-system/
AdventHealth Waterman,"1000 Waterman Way, Tavares, FL, 32778",(352) 253-3300,100057,1821019571,https://www.adventhealth.com/hospital/adventhealth-waterman,Acute Care Hospitals,Voluntary non-profit - Church,269,/health_systems/adventist-health-system/
Adventhealth Wauchula,"533 West Carlton Street, Wauchula, FL, 33873",(863) 773-0216,101300,,https://www.adventhealth.com/hospital/adventhealth-wauchula,Critical Access Hospitals,Voluntary non-profit - Private,25,/health_systems/adventist-health-system/
AdventHealth Wesley Chapel ,"2600 Bruce B Downs Bouelvard, Wesley Chapel, FL, 33544",(813) 929-5490,100319,1073893020,https://www.adventhealth.com/hospital/adventhealth-wesley-chapel,Acute Care Hospitals,Voluntary non-profit - Private,145,/health_systems/adventist-health-system/
AdventHealth Zephyrhills ,"7050 Gall Boulevard, Zephyrhills, FL, 33541",(813) 788-0411,100046,1346354677,https://www.adventhealth.com/hospital/adventhealth-zephyrhills,Acute Care Hospitals,Voluntary non-profit - Church,139,/health_systems/adventist-health-system/
Advocate Christ Medical Center,"4440 West 95th Street, Oak Lawn, IL, 60453",(708) 684-8000,140208,1548375082,https://www.advocatehealth.com/cmc/,Acute Care Hospitals,Voluntary non-profit - Church,695,/health_systems/advocate-aurora-health/
Advocate Condell Medical Center,"801 South Milwaukee Avenue, Libertyville, IL, 60048",(847) 362-2900,140202,1124272547,https://www.advocatehealth.com/CONDELL/,Acute Care Hospitals,Voluntary non-profit - Private,284,/health_systems/advocate-aurora-health/
Advocate Good Samaritan Hospital,"3815 Highland Avenue, Downers Grove, IL, 60515",(630) 275-5900,140288,1578670543,https://www.advocatehealth.com/gsam/,Acute Care Hospitals,Voluntary non-profit - Church,366,/health_systems/advocate-aurora-health/
Advocate Good Shepherd Hospital,"450 West Highway 22, Barrington, IL, 60010",(847) 381-9600,140291,1447368071,https://www.advocatehealth.com/gshp/,Acute Care Hospitals,Voluntary non-profit - Church,154,/health_systems/advocate-aurora-health/
Advocate Illinois Masonic Medical Center,"836 West Wellington Avenue, Chicago, IL, 60657",(773) 975-1600,140182,1912014564,https://www.advocatehealth.com/immc/,Acute Care Hospitals,Voluntary non-profit - Private,997,/health_systems/advocate-aurora-health/
Advocate Lutheran General Hospital,"1775 Dempster Street, Park Ridge, IL, 60068",(847) 723-2210,140223,1164539730,https://www.advocatehealth.com/luth/,Acute Care Hospitals,Voluntary non-profit - Church,608,/health_systems/advocate-aurora-health/
Advocate Sherman Hospital,"1425 North Randall Road, Elgin, IL, 60123",(847) 742-9800,140030,1629026364,https://www.advocatehealth.com/sherman/,Acute Care Hospitals,Voluntary non-profit - Private,255,/health_systems/advocate-aurora-health/
Advocate South Suburban Hospital,"17800 South Kedzie Avenue, Hazel Crest, IL, 60429",(708) 799-8000,140250,1467560128,https://www.advocatehealth.com/ssub/,Acute Care Hospitals,Voluntary non-profit - Church,286,/health_systems/advocate-aurora-health/
Advocate Trinity Hospital,"2320 East 93rd Street, Chicago, IL, 60617",(773) 967-5002,140048,1558479212,https://www.advocatehealth.com/trin/,Acute Care Hospitals,Voluntary non-profit - Other,263,/health_systems/advocate-aurora-health/
AHN Brentwood,"3290 Saw Mill Run Blvd, Brentwood, PA, 15227",412-437-2600,,,https://www.ahnneighborhood.org/locations/,,,,/health_systems/ahn-neighborhood-hospitals/
AHN Harmar,"2501 Freeport Rd, Pittsburgh, PA, 15238",412-550-5550,,,https://www.ahnneighborhood.org/locations/,,,,/health_systems/ahn-neighborhood-hospitals/
AHN Hempfield,"6321 Route 30, Greensburg, PA, 15601",878-295-4735,,,https://www.ahnneighborhood.org/locations/,,,,/health_systems/ahn-neighborhood-hospitals/
AHN McCandless,"8950 Duncan Ave, Pittsburgh, PA, 15237",878-999-9035,,,https://www.ahnneighborhood.org/locations/,,,,/health_systems/ahn-neighborhood-hospitals/
Aiken Regional Medical Center,"302 University Parkway, Aiken, SC, 29801",(803) 641-5900,420082,1467448498,https://www.aikenregional.com/,Acute Care Hospitals,Proprietary,259,/health_systems/universal-health-services/
Akron General Medical Center,"1 Akron General Avenue, Akron, OH, 44307",(330) 344-6000,360027,1821035940,https://my.clevelandclinic.org/locations/akron-general,Acute Care Hospitals,Voluntary non-profit - Private,511,/health_systems/the-cleveland-clinic-health-system/
Alamance Regional Medical Center,"1240 Huffman Mill Road, Burlington, NC, 27215",(336) 538-7000,340070,1326010273,https://www.conehealth.com/locations/alamance-regional/,Acute Care Hospitals,Voluntary non-profit - Private,238,/health_systems/cone-health/
Alameda Hospital,"2070 Clinton Avenue, Alameda, CA, 94501",(510) 522-3700,50211,1831529049,http://www.alamedahealthsystem.org/,Acute Care Hospitals,Government - Hospital District or Authority,145,/health_systems/alameda-health-system/
Alaska Regional Hospital,"2801 Debarr Road, Anchorage, AK, 99508",(907) 276-1131,20017,1952348047,https://alaskaregional.com/,Acute Care Hospitals,Proprietary,250,/health_systems/hca-healthcare/
Albany Medical Center South Clinical Campus,"25 Hackett Blvd, Albany, NY, 12208",5182623000,330189,,https://www.amc.edu/maps_directions/index.cfm,,,20,/health_systems/albany-medical-center/
Albert Einstein Medical Center,"5501 Old York Road, Philadelphia, PA, 19141",(215) 456-6090,390142,1902805245,https://www.einstein.edu/,Acute Care Hospitals,Voluntary non-profit - Other,783,/health_systems/albert-einstein-healthcare-network/
Alexian Brothers Behavioral Health,"1650 Moon Lake Boulevard, Hoffman Estates, IL, 60169",(847) 882-1600,144031,,https://www.amitahealth.org/services/behavioral-medicine/,Psychiatric,Voluntary non-profit - Church,136,/health_systems/ascension-health/
Alexian Brothers Medical Center,"800 Biesterfield Road, Elk Grove Village, IL, 60007",(847) 437-5500,140258,1265577191,https://www.amitahealth.org/locations/hospitals/elk-grove-village,Acute Care Hospitals,Voluntary non-profit - Church,483,/health_systems/ascension-health/
Allegheny General Hospital,"320 East North Avenue, Pittsburgh, PA, 15212",(412) 359-3131,390050,1285667493,https://www.ahn.org/locations/allegheny-general-hospital,Acute Care Hospitals,Voluntary non-profit - Private,829,/health_systems/allegheny-health-network/
Allegheny Valley Hospital,"1301 Carlisle Street, Natrona Heights, PA, 15065",(412) 224-5100,390032,1689679581,https://www.ahn.org/locations/allegheny-valley-hospital,Acute Care Hospitals,Voluntary non-profit - Other,228,/health_systems/allegheny-health-network/
Alliance Health Center,"5000 Highway 39 North, Meridian, MS, 39301",(601) 483-6211,250151,1831184951,https://alliancehealthcenter.com/,Acute Care Hospitals,Proprietary,134,/health_systems/universal-health-services/
AllianceHealth Midwest,"2825 Parklawn Drive, Midwest City, OK, 73110",(405) 610-8585,370094,1730128836,https://www.alliancehealthmidwest.com/,Acute Care Hospitals,Proprietary,255,/health_systems/community-health-systems/
Alliancehealth Woodward,"900 17th Street, Woodward, OK, 73801",(580) 254-8492,370002,1558312553,https://www.alliancehealthwoodward.com/,Acute Care Hospitals,Proprietary,87,/health_systems/community-health-systems/
Alta Bates Medical Center,"2450 Ashby Avenue, Berkeley, CA, 94705",(510) 204-4444,50305,1639523004,https://www.sutterhealth.org/absmc,Acute Care Hospitals,Voluntary non-profit - Private,555,/health_systems/sutter-health/
Alta Bates Summit Medical Center,"350 Hawthorne Avenue, Oakland, CA, 94609",(510) 655-4000,50043,1295181477,https://www.sutterhealth.org/absmc,Acute Care Hospitals,Voluntary non-profit - Private,569,/health_systems/sutter-health/
Alta View Hospital,"9660 South 1300 East, Sandy, UT, 84094",(801) 501-2600,460044,1962412486,https://intermountainhealthcare.org/locations/alta-view-hospital/,Acute Care Hospitals,Voluntary non-profit - Private,70,/health_systems/intermountain-healthcare/
Alta Vista Regional Hospital,"104 Legion Drive, Las Vegas, NM, 87701",(505) 426-3930,320003,1396716643,http://www.altavistaregionalhospital.com/,Acute Care Hospitals,Government - Hospital District or Authority,62,/health_systems/quorum-health/
Alton Memorial Hospital,"One Memorial Drive, Alton, IL, 62002",(618) 463-7300,140002,1548278476,https://www.altonmemorialhospital.org/,Acute Care Hospitals,Voluntary non-profit - Private,222,/health_systems/bjc-healthcare/
Altoona Regional Health System,"620 Howard Avenue, Altoona, PA, 16601",(814) 889-2011,390073,1649278730,http://www.altoonaregional.org/,Acute Care Hospitals,Voluntary non-profit - Private,433,/health_systems/upmc/
Alvarado Hospital,"6655 Alvarado Road, San Diego, CA, 92120",(619) 229-3172,50757,1265468946,https://www.alvaradohospital.com/,Acute Care Hospitals,Proprietary,311,/health_systems/prime-healthcare-services/
American Fork Hospital,"170 North 1100 East, American Fork, UT, 84003",(801) 855-3305,460023,1912014358,https://intermountainhealthcare.org/locations/american-fork-hospital/,Acute Care Hospitals,Voluntary non-profit - Private,89,/health_systems/intermountain-healthcare/
Amery Hospital & Clinic,"265 Griffin Street East, Amery, WI, 54001",(715) 268-0300,521308,,https://www.healthpartners.com/care/hospitals/amery/,Critical Access Hospitals,Voluntary non-profit - Private,25,/health_systems/healthpartners/
Andalusia Regional Hospital,"849 South Three Notch Street, Andalusia, AL, 36420",(334) 222-8466,10036,1821078494,https://www.andalusiahealth.com/,Acute Care Hospitals,Proprietary,88,/health_systems/lifepoint-health/
Anderson County Hospital,"421 South Maple, Garnett, KS, 66032",(785) 204-4000,171316,,https://www.saintlukeskc.org/locations/anderson-county-hospital,Critical Access Hospitals,Voluntary non-profit - Private,25,/health_systems/saint-lukes-health-system-2/
Anderson Hospital,"6800 State Route 162, Maryville, IL, 62062",(618) 288-5711,140289,1053481630,https://www.andersonhospital.org/,Acute Care Hospitals,Voluntary non-profit - Private,151,/health_systems/community-memorial-hospital-association/
Androscoggin Valley Hospital,"59 Page Hill Road, Berlin, NH, 03570",(603) 752-2200,301310,,http://www.avhnh.org/,Critical Access Hospitals,Voluntary non-profit - Private,25,/health_systems/north-country-healthcare/
Anmed Health,"800 North Fant Street, Anderson, SC, 29621",(864) 512-2830,420027,1417919531,https://anmedhealth.org/,Acute Care Hospitals,Voluntary non-profit - Private,533,/health_systems/atrium-health/
Arnot Ogden Medical Center,"600 Roe Avenue, Elmira, NY, 14905",(607) 737-4100,330090,1083605661,https://www.arnothealth.org/arnot-ogden-medical-center,Acute Care Hospitals,Voluntary non-profit - Private,266,/health_systems/arnot-health/
Arrowhead Hospital,"1725 Timber Line Road, Maumee, OH, 43537",(419) 891-9333,364036,,https://www.arrowheadbehavioral.com/,Psychiatric,Proprietary,42,/health_systems/universal-health-services/
Arrowhead Regional Medical Center,"400 North Pepper Avenue, Colton, CA, 92324",(909) 580-1000,50245,1720158009,https://www.arrowheadmedcenter.org/,Acute Care Hospitals,Government - Local,456,/health_systems/arrowhead-regional-medical-center/
Ascension All Saints Hospital,"3801 Spring Street, Racine, WI, 53405",(262) 687-4011,520096,1639123284,https://health.usnews.com/best-hospitals/area/wi/wheaton-franciscan-healthcare-all-saints-6451580,Acute Care Hospitals,Voluntary non-profit - Church,553,/health_systems/ascension-health/
Ascension Borgess Hospital,"1521 Gull Road, Kalamazoo, MI, 49048",(269) 226-7000,230117,1568416311,https://healthcare.ascension.org/Locations/Michigan/MIKAL/Kalamazoo-Ascension-Borgess-Hospital,Acute Care Hospitals,Voluntary non-profit - Other,372,/health_systems/ascension-health/
Ascension Borgess-Pipp Hospital Lab,"411 Naomi St, Plainwell, MI, 49080",2696850700,232034,,https://healthcare.ascension.org/Locations/Michigan/MIKAL/Plainwell-Ascension-Borgess-Pipp-Hospital-Lab,,,43,/health_systems/ascension-health/
Ascension Brighton Center for Recovery,"12851 Grand River Road, Brighton, MI, 48116",(810) 227-1211,230279,1265527337,https://healthcare.ascension.org/Locations/Michigan/MIDET/Brighton-Ascension-Brighton-Center-for-Recovery,Acute Care Hospitals,Voluntary non-profit - Private,63,/health_systems/ascension-health/
Ascension Calumet Hospital,"614 Memorial Drive, Chilton, WI, 53014",(920) 849-2386,521317,,http://www.affinityhealth.org/object/locations-Calumet-Medical-Center-Chilton.html,Critical Access Hospitals,Voluntary non-profit - Private,29,/health_systems/ascension-health/
Ascension Columbia St Marys Milwauke,"2301 North Lake Drive, Milwaukee, WI, 53211",(414) 585-1374,520051,1871656082,https://www.infinityhealthcare.com/columbia-st-marys-hospital-milwaukee/,Acute Care Hospitals,Voluntary non-profit - Church,422,/health_systems/ascension-health/
Ascension Columbia St Marys Ozaukee,"13111 North Port Washington Road, Mequon, WI, 53097",(414) 585-1374,520027,1316000706,https://www.healthgrades.com/hospital-directory/wisconsin-wi/columbia-st-marys-hospital-ozaukee-hgstb58b6bc6520027,Acute Care Hospitals,Voluntary non-profit - Church,118,/health_systems/ascension-health/
Ascension Eagle River Hospital,"201 Hospital Road, Eagle River, WI, 54521",(715) 479-7411,521300,,https://healthcare.ascension.org/Locations/Wisconsin/WIAPM/Eagle-River-Memorial-Hospital,Critical Access Hospitals,Voluntary non-profit - Private,25,/health_systems/ascension-health/
Ascension Genesys Hospital,"One Genesys Parkway, Grand Blanc, MI, 48439",(810) 606-5000,230197,1407877723,https://healthcare.ascension.org/Locations/Michigan/MIGRA/Grand-Blanc-Ascension-Genesys-Hospital,Acute Care Hospitals,Voluntary non-profit - Church,410,/health_systems/ascension-health/
Ascension Good Samaritan Hospital,"601 South Center Avenue, Merrill, WI, 54452",(715) 536-5511,521339,,https://www.healthgrades.com/hospital-directory/wisconsin-wi/good-samaritan-health-center-hgst39824fcf521339,Critical Access Hospitals,Voluntary non-profit - Church,25,/health_systems/ascension-health/
Ascension Macomb-Oakland Hospital,"11800 East 12 Mile Road, Warren, MI, 48093",(586) 573-5000,230195,1124099858,https://healthcare.ascension.org/Locations/Michigan/MIDET/Warren-Ascension-Macomb-Oakland-Hospital-Warren-Campus-Diabetes-and-Nutrition-Counseling-Center,Acute Care Hospitals,Voluntary non-profit - Private,348,/health_systems/ascension-health/
"Ascension Macomb-Oakland Hospital, Madison Heights Campus","27351 Dequindre Rd, Madison Heights, MI, 48071",2489677000,230223,1942271671,https://healthcare.ascension.org/Locations/Michigan/MIDET/Madison-Heights-Ascension-MacombOakland-Hospital-Madison-Heights-Campus,,,154,/health_systems/ascension-health/
Ascension Ne Wisconsin-St. Elizabeth,"1506 South Oneida Street, Appleton, WI, 54915",(920) 738-2000,520009,1407803638,https://healthcare.ascension.org/Locations/Wisconsin/WIAPA/Appleton-Ascension-NE-Wisconsin-St-Elizabeth-Campus,Acute Care Hospitals,Voluntary non-profit - Private,332,/health_systems/ascension-health/
Ascension Our Lady Of Victory Hospit,"1120 Pine Street, Stanley, WI, 54768",(715) 644-5571,521311,,https://healthcare.ascension.org/Locations/Wisconsin/WIAPM/Stanley-Our-Lady-of-Victory-Hospital,Critical Access Hospitals,Voluntary non-profit - Other,24,/health_systems/ascension-health/
Ascension Providence,"6801 Airport Boulevard, Mobile, AL, 36608",(251) 633-1000,10090,1952390643,https://healthcare.ascension.org/Locations/Alabama/ALMOB/Mobile-Providence-Hospital?utm_campaign=gmb-website&utm_medium=organic&utm_source=google,Acute Care Hospitals,Voluntary non-profit - Church,349,/health_systems/ascension-health/
Ascension Providence DePaul Center,"301 Londonderry Dr, Waco, TX, 76712",2547723500,454032,,https://www.providence.net/locations/providence-depaul-center/?utm_campaign=gmb-website&utm_medium=organic&utm_source=google,,,64,/health_systems/ascension-health/
Ascension Providence Hospital - Southfield Campus,"16001 West Nine Mile Road, Southfield, MI, 48075",(248) 849-3011,230019,1144210253,https://healthcare.ascension.org/Locations/Michigan/MIDET/Southfield-Ascension-Providence-Hospital-Southfield-Campus,Acute Care Hospitals,Voluntary non-profit - Church,434,/health_systems/ascension-health/
Ascension Providence Rochester Hospital,"1101 West University Drive, Rochester, MI, 48307",(248) 652-5000,230254,1437176203,https://healthcare.ascension.org/Locations/Michigan/MIROC/Rochester-Ascension-Providence-Rochester-Hospital,Acute Care Hospitals,Voluntary non-profit - Private,290,/health_systems/ascension-health/
Ascension River District Hospital,"4100 River Road, East China, MI, 48054",(810) 329-7111,230241,1619941333,https://healthcare.ascension.org/Locations/Michigan/MIDET/East-China-Township-Ascension-River-District-Hospital,Acute Care Hospitals,Government - Hospital District or Authority,68,/health_systems/ascension-health/
Ascension Sacred Heart Hospital,"401 West Mohawk Drive, Tomahawk, WI, 54487",(715) 453-7700,521313,,https://healthcare.ascension.org/Locations/Wisconsin/WIAPM/Tomahawk-Sacred-Heart-Hospital,Critical Access Hospitals,Voluntary non-profit - Church,18,/health_systems/ascension-health/
Ascension Sacred Heart Rehabilitatio,"2323 North Lake Drive, Milwaukee, WI, 53211",4145851374,523025,,https://healthcare.ascension.org/Locations/Wisconsin/WIMIL/Milwaukee-Ascension-Sacred-Heart-Rehabilitation-Hospital,,,81,/health_systems/ascension-health/
Ascension Saint Thomas Highlands,"401 Sewell Road, Sparta, TN, 38583",(931) 738-9211,440192,1922487966,https://healthcare.ascension.org/Locations/Tennessee/TNNAS/Sparta-Ascension-Saint-Thomas-Highlands?utm_campaign=gmb-website&utm_medium=organic&utm_source=google,Acute Care Hospitals,Proprietary,60,/health_systems/ascension-health/
Ascension Saint Thomas River Park,"1559 Sparta Street, Mc Minnville, TN, 37110",(931) 815-4101,440151,1518346469,https://healthcare.ascension.org/Locations/Tennessee/TNNAS/McMinnville-Ascension-Saint-Thomas-River-Park?utm_campaign=gmb-website&utm_medium=organic&utm_source=google,Acute Care Hospitals,Voluntary non-profit - Private,152,/health_systems/ascension-health/
Ascension Saint Thomas Stones River,"324 Doolittle Road, Woodbury, TN, 37190",(615) 563-4001,440200,1447639398,https://healthcare.ascension.org/Locations/Tennessee/TNNAS/Woodbury-Ascension-Saint-Thomas-Stones-River?utm_campaign=gmb-website&utm_medium=organic&utm_source=google,Acute Care Hospitals,Proprietary,55,/health_systems/ascension-health/
Ascension Seton Medical Center Austin,"1201 West 38th Street, Austin, TX, 78705",(512) 324-1000,450056,1164526786,https://healthcare.ascension.org/Locations/Texas/TXAUS/Austin-Ascension-Seton-Medical-Center-Austin,Acute Care Hospitals,Physician,524,/health_systems/ascension-health/
Ascension Seton Northwest,"11113 Research Boulevard, Austin, TX, 78759",(512) 324-6000,450867,1124137054,https://healthcare.ascension.org/Locations/Texas/TXAUS/Austin-Ascension-Seton-Northwest,Acute Care Hospitals,Voluntary non-profit - Private,124,/health_systems/ascension-health/
Ascension Seton Southwest,"7900 F M 1826, Building 1, Austin, TX, 78737",(512) 324-9000,450865,1750499273,https://healthcare.ascension.org/Locations/Texas/TXAUS/Austin-Ascension-Seton-Northwest,Acute Care Hospitals,Voluntary non-profit - Private,28,/health_systems/ascension-health/
Ascension SE Wisconsin Hospital - Franklin Campus,"10101 South 27th Street, Franklin, WI, 53132",4143254500,520204,1457479552,https://healthcare.ascension.org/Locations/Wisconsin/WIWHE/Franklin-Ascension-SE-Wisconsin-Hospital-Franklin-Campus,,,52,/health_systems/ascension-health/
Ascension SE Wisconsin Hospital - St. Joseph Campus,"5000 West Chambers Street, Milwaukee, WI, 53210",(414) 447-2130,520136,1427007384,https://healthcare.ascension.org/Locations/Wisconsin/WIWHE/Milwaukee-Ascension-SE-Wisconsin-Hospital-St-Joseph-Campus,Acute Care Hospitals,Voluntary non-profit - Church,538,/health_systems/ascension-health/
Ascension Standish Hospital,"805 W Cedar St, Standish, MI, 48658",None,233998,,https://healthcare.ascension.org/Locations/Michigan/MISAG/Standish-Ascension-Standish-Hospital,,,,/health_systems/ascension-health/
Ascension Standish Hospital,"805 West Cedar Street, Standish, MI, 48658",(517) 846-4521,231305,,https://healthcare.ascension.org/Locations/Michigan/MISAG/Standish-Ascension-Standish-Hospital,Critical Access Hospitals,Voluntary non-profit - Church,25,/health_systems/ascension-health/
Ascension St Clares Hospital,"3400 Ministry Parkway, Weston, WI, 54476",(715) 393-3000,520202,1902437650,https://healthcare.ascension.org/Locations/Wisconsin/WIAPM/Weston-Saint-Clares-Hospital,Acute Care Hospitals,Voluntary non-profit - Private,86,/health_systems/ascension-health/
Ascension St. Francis Hospital,"3237 South 16th Street, Milwaukee, WI, 53215",(414) 647-5000,520078,1225087190,https://healthcare.ascension.org/Locations/Wisconsin/WIWHE/Milwaukee-Ascension-St-Francis-Hospital,Acute Care Hospitals,Voluntary non-profit - Private,270,/health_systems/ascension-health/
